date,code,news_score,n_kw
2024-10-15,3026,0.0,0
2024-10-15,2472,0.0,0
2024-10-15,3357,0.0,0
2024-10-15,5425,0.0,0
2024-10-15,2481,0.0,0
2024-10-15,3675,0.0,0
2024-10-15,8255,0.0,0
2024-10-15,8261,0.0,0
2024-10-16,2327,0.0,0
2024-10-16,2492,0.0,0
2024-10-16,3026,0.0,0
2024-10-16,2472,0.0,0
2024-10-16,3357,0.0,0
2024-10-16,5425,0.0,0
2024-10-16,2481,0.0,0
2024-10-16,3675,0.02,1
2024-10-16,8255,0.0,0
2024-10-16,8261,0.0,0
2024-10-17,2327,0.0,0
2024-10-17,2492,0.0,0
2024-10-17,3026,0.0,0
2024-10-17,2472,0.0,0
2024-10-17,3357,0.0,0
2024-10-17,5425,0.0,0
2024-10-17,2481,0.0,0
2024-10-17,3675,0.0,0
2024-10-17,8255,0.0,0
2024-10-17,8261,0.0,0
2024-10-18,2327,0.0,0
2024-10-18,2492,0.0,0
2024-10-18,3026,0.0,0
2024-10-18,2472,0.0,0
2024-10-18,3357,0.0,0
2024-10-18,5425,0.0,0
2024-10-18,2481,0.0,0
2024-10-18,3675,-0.0184,1
2024-10-18,8255,0.0,0
2024-10-18,8261,0.0,0
2024-10-21,2327,0.2071,2
2024-10-21,2492,0.0,0
2024-10-21,3026,0.0,0
2024-10-21,2472,0.0,0
2024-10-21,3357,0.0,0
2024-10-21,5425,0.0,0
2024-10-21,2481,0.0,0
2024-10-21,3675,0.0,0
2024-10-21,8255,0.0,0
2024-10-21,8261,0.0,0
2024-10-22,2327,-0.2287,2
2024-10-22,2492,-0.0193,1
2024-10-22,3026,0.0,0
2024-10-22,2472,0.0,0
2024-10-22,3357,0.0,0
2024-10-22,5425,0.0,0
2024-10-22,2481,0.0,0
2024-10-22,3675,0.0,0
2024-10-22,8255,0.0,0
2024-10-22,8261,0.0,0
2024-10-23,2327,0.0,0
2024-10-23,2492,0.0,0
2024-10-23,3026,0.0,0
2024-10-23,2472,0.0,0
2024-10-23,3357,0.0,0
2024-10-23,5425,0.0,0
2024-10-23,2481,0.07,1
2024-10-23,3675,0.0,0
2024-10-23,8255,0.0,0
2024-10-23,8261,0.0,0
2024-10-24,2327,0.0,0
2024-10-24,2492,0.0,0
2024-10-24,3026,0.0,0
2024-10-24,2472,0.0,0
2024-10-24,3357,0.0,0
2024-10-24,5425,0.0,0
2024-10-24,2481,0.0,0
2024-10-24,3675,0.0,0
2024-10-24,8255,0.0,0
2024-10-24,8261,0.0,0
2024-10-25,2327,0.0,0
2024-10-25,2492,0.0,0
2024-10-25,3026,0.0,0
2024-10-25,2472,0.0,0
2024-10-25,3357,0.0,0
2024-10-25,5425,0.0,0
2024-10-25,2481,0.0,0
2024-10-25,3675,0.143,1
2024-10-25,8255,0.0,0
2024-10-25,8261,0.0,0
2024-10-28,2327,0.1504,2
2024-10-28,2492,0.0,0
2024-10-28,3026,0.0,0
2024-10-28,2472,0.0,0
2024-10-28,3357,0.0,0
2024-10-28,5425,0.0,0
2024-10-28,2481,0.0,0
2024-10-28,3675,-0.0053,3
2024-10-28,8255,0.0,0
2024-10-28,8261,0.0,0
2024-10-29,2327,-0.2948,9
2024-10-29,2492,0.0,0
2024-10-29,3026,-0.0193,1
2024-10-29,2472,0.0,0
2024-10-29,3357,0.0,0
2024-10-29,5425,0.0,0
2024-10-29,2481,0.0,0
2024-10-29,3675,0.0715,3
