date,method,n,accuracy,mae,mae_zero,good
2025-03-25,ridge_full,10,0.3,1.2589859496061102,1.069503000527121,False
2025-03-26,ridge_full,10,0.5,0.7274684591378798,0.5728032088653112,False
2025-03-27,ridge_full,10,0.5,1.208699955696229,1.2045381827765589,False
2025-03-28,ridge_full,10,0.6,3.619908534272418,3.720257581939078,False
2025-03-31,ridge_full,10,0.7,5.643446014629575,5.8132499963924245,False
2025-04-01,ridge_full,10,0.2,3.3641566887688255,2.649406331416444,False
2025-04-02,ridge_full,10,0.9,1.3350631753147923,1.7143420991431455,False
2025-04-07,ridge_full,10,0.2,10.222543398419791,9.956844991710222,False
2025-04-08,ridge_full,10,0.9,7.6169440144085145,8.976442975503543,False
2025-04-09,ridge_full,10,0.8,8.525445647120161,9.698443902655638,False
2025-04-10,ridge_full,10,0.0,13.883923197801176,9.901589627853053,False
2025-04-11,ridge_full,10,0.7,2.312965518406026,2.362771060045213,False
2025-04-14,ridge_full,10,1.0,2.2891366396719386,2.441362332505004,False
2025-04-15,ridge_full,10,0.6,5.128542431798949,5.1523259728413136,False
2025-04-16,ridge_full,10,0.1,4.433432383692035,2.822253099669405,False
2025-04-17,ridge_full,10,0.6,1.2342377947202183,1.0905897481540483,False
2025-04-18,ridge_full,10,0.6,1.5926654161905631,1.5223771687534093,False
2025-04-21,ridge_full,10,0.2,3.6508271156537155,2.9373432689224765,False
2025-04-22,ridge_full,10,1.0,1.1411348280128244,1.7994306070558241,False
2025-04-23,ridge_full,10,0.0,4.964986770493821,4.210180658001834,False
2025-04-24,ridge_full,10,0.6,1.540019872692755,1.0260083859600921,False
2025-04-25,ridge_full,10,0.3,2.26304094610392,1.9785511195466163,False
2025-04-28,ridge_full,10,0.8,0.8558027964591239,1.2392571462349156,True
2025-04-29,ridge_full,10,0.8,1.748745158455547,2.133700584450413,False
2025-04-30,ridge_full,10,0.5,1.944243817910739,1.7229133748179237,False
2025-05-02,ridge_full,10,0.3,1.6557965455802246,1.2456248218555033,False
2025-05-05,ridge_full,10,0.0,5.01390196419453,4.14863629692368,False
2025-05-06,ridge_full,10,0.5,1.7370732570838878,1.4058473905201685,False
2025-05-07,ridge_full,10,0.5,2.1514798502569215,1.3316274485193946,False
2025-05-08,ridge_full,10,0.4,2.903533735135218,2.484250166246049,False
2025-05-09,ridge_full,10,0.3,1.5636042835174824,1.1250153916344852,False
2025-05-12,ridge_full,10,0.1,3.737178353839089,3.3724610265627897,False
2025-05-13,ridge_full,10,0.3,1.0512531287918998,0.8325795423723481,False
2025-05-14,ridge_full,10,0.3,1.648981973500782,1.3455449252790932,False
2025-05-15,ridge_full,10,0.6,1.0098417001429714,0.9779536347070849,False
2025-05-16,ridge_full,10,0.3,0.9615940958250603,0.9016534525833919,False
2025-05-19,ridge_full,10,0.8,1.7748092936993882,2.0175801442130217,False
2025-05-20,ridge_full,10,0.6,0.5772310101633799,0.46967893709221614,False
2025-05-21,ridge_full,10,0.2,2.251239581053369,2.0149686953869517,False
2025-05-22,ridge_full,10,0.6,1.4550633729932791,1.4768419351407969,False
2025-05-23,ridge_full,10,0.8,1.0427216120110199,1.1277046056961315,False
2025-05-26,ridge_full,10,0.7,0.7285032330179807,0.7668325990273506,True
2025-05-27,ridge_full,10,0.7,0.7161655656754142,0.8463280872067337,True
2025-05-28,ridge_full,10,0.5,1.5092277215833456,1.5461582199152022,False
2025-05-29,ridge_full,10,0.4,1.2700906098038574,1.2594579412739682,False
2025-06-02,ridge_full,10,0.7,3.4001221337570997,3.4361636799678883,False
2025-06-03,ridge_full,10,0.3,0.9806171587830654,0.8913210485246015,False
2025-06-04,ridge_full,10,0.0,2.4319013744582287,2.1811323841535812,False
2025-06-05,ridge_full,10,0.4,1.0545465491352513,0.9758296171804337,False
2025-06-06,ridge_full,10,0.3,1.2301580238759429,1.161208864499944,False
2025-06-09,ridge_full,10,0.3,1.4693476272329957,1.4072692400573672,False
2025-06-10,ridge_full,10,0.5,1.74652048774101,1.807496631289244,False
2025-06-11,ridge_full,10,0.4,1.3336236162917061,1.1488120207352603,False
2025-06-12,ridge_full,10,0.6,0.9477329336270259,0.9469792738817917,False
2025-06-13,ridge_full,10,0.8,2.2635024518743867,2.4378812107899694,False
2025-06-16,ridge_full,10,0.2,1.1556358952889618,0.9903428373729939,False
2025-06-17,ridge_full,10,0.4,1.7067333827190285,1.5621546703951883,False
2025-06-18,ridge_full,10,0.2,1.142702800546251,1.04936606621432,False
2025-06-19,ridge_full,10,0.3,1.8592372604969754,1.7787179618308158,False
2025-06-20,ridge_full,10,0.8,1.8113592572352737,2.0981070461083173,False
2025-06-23,ridge_full,10,0.8,0.8040533781033752,0.9568793846815525,True
2025-06-24,ridge_full,10,0.0,3.0725338910307554,2.7551919682903137,False
2025-06-25,ridge_full,10,0.9,0.6796704766563909,0.8556343491291196,True
2025-06-26,ridge_full,10,0.4,0.851872984524683,0.879872519687539,False
2025-06-27,ridge_full,10,0.6,1.0096813875620652,1.0733265123510505,False
2025-06-30,ridge_full,10,0.8,1.3623027355732282,1.4195331275271883,False
2025-07-01,ridge_full,10,0.3,0.5860673451498614,0.5496024126853516,False
2025-07-02,ridge_full,10,0.6,0.863343496015513,0.8850118137772423,False
2025-07-03,ridge_full,10,0.1,1.1669328796909129,0.9297618843651655,False
2025-07-04,ridge_full,10,0.8,1.9768684327843693,2.1052896558846323,False
2025-07-07,ridge_full,10,0.8,1.2516436247908058,1.3532359442138953,False
2025-07-08,ridge_full,10,0.9,0.8454020091595849,1.0112802743583038,True
2025-07-09,ridge_full,10,0.2,1.3597317490963647,1.184810376513613,False
2025-07-10,ridge_full,10,0.3,0.4878857600765814,0.4459317203942071,False
2025-07-11,ridge_full,10,0.2,1.3260100013533376,1.2530331653184035,False
2025-07-14,ridge_full,10,0.8,0.9024516795791063,0.9650625046894035,True
2025-07-15,ridge_full,10,0.2,1.4471680181298254,1.3290760913177246,False
2025-07-16,ridge_full,10,0.3,1.4083779173223463,1.4006806773658909,False
2025-07-17,ridge_full,10,0.6,2.6549595251420848,2.7456569959374533,False
2025-07-18,ridge_full,10,0.5,1.2585814116784144,1.2201783736480132,False
2025-07-21,ridge_full,10,0.5,0.9024376067820225,1.068986245113066,False
2025-07-22,ridge_full,10,0.7,2.183142183273072,2.2409363857894014,False
2025-07-23,ridge_full,10,0.2,2.2823128596484583,2.127319533465326,False
2025-07-24,ridge_full,10,0.4,0.5619673481612801,0.5200739151330014,False
2025-07-25,ridge_full,10,0.2,1.1072831750353325,0.8888165421806349,False
2025-07-28,ridge_full,10,0.7,0.6898592444494382,0.803566018598809,True
2025-07-29,ridge_full,10,0.7,1.2836086492017234,1.284591943492217,False
2025-07-30,ridge_full,10,0.6,1.5956289385764917,1.6726780376052486,False
2025-07-31,ridge_full,10,0.5,1.2218138353598602,1.2775649421285382,False
2025-08-04,ridge_full,10,0.4,1.5813386710768143,1.5508632052487603,False
2025-08-05,ridge_full,10,0.3,1.923811366748831,1.8435889042868503,False
2025-08-06,ridge_full,10,0.3,0.7803856023953252,0.7395188443768097,False
2025-08-07,ridge_full,10,0.4,0.7924291869254476,0.6776138821199583,False
2025-08-08,ridge_full,10,0.3,1.4956071639524793,1.133502161087746,False
2025-08-11,ridge_full,10,0.2,1.0904136176066785,0.9503965918589163,False
2025-08-12,ridge_full,10,0.2,1.5419484101848402,1.4495943465020145,False
2025-08-13,ridge_full,10,0.4,2.1536838399581915,2.1607095370530938,False
2025-08-14,ridge_full,10,0.5,1.5975182248873534,1.767793206343017,False
2025-08-15,ridge_full,10,0.2,1.2313765002037047,1.1218091486713488,False
2025-08-18,ridge_full,10,0.4,1.9238559493234657,2.0544811910381626,False
2025-08-19,ridge_full,10,0.3,1.4570826764004594,1.1966718434379895,False
2025-08-20,ridge_full,10,0.6,1.7110019352939851,1.7650852196403268,False
2025-08-21,ridge_full,10,0.0,1.8759646471163678,1.464363816766595,False
2025-08-22,ridge_full,10,0.3,1.4028933797903824,1.398856661655826,False
2025-08-25,ridge_full,10,0.3,1.6268189039425685,1.575018443195455,False
2025-08-26,ridge_full,10,0.4,2.205271931432889,2.2031444363437336,False
2025-08-27,ridge_full,10,0.3,2.220070462993556,2.0428528871893046,False
2025-08-28,ridge_full,10,0.6,0.983685043282738,1.1080555703006767,False
2025-08-29,ridge_full,10,0.4,1.4209747081780526,1.363185253759347,False
2025-09-01,ridge_full,10,0.3,2.6034425792236005,2.6334657980534715,False
2025-09-02,ridge_full,10,0.4,2.0093715318789562,1.8548754498183118,False
2025-09-03,ridge_full,10,0.5,4.210790065401858,4.345431944229984,False
2025-09-04,ridge_full,10,0.5,2.2423457579636015,1.5178359173240294,False
2025-09-05,ridge_full,10,0.5,1.203012673743057,1.3236021354368588,False
2025-09-08,ridge_full,10,0.5,1.903014526702845,1.916029678261968,False
2025-09-09,ridge_full,10,0.7,1.890022556503494,1.749494556698552,False
2025-09-10,ridge_full,10,0.8,1.762582631588622,1.934256421020234,False
2025-09-11,ridge_full,10,0.4,2.6729530111743776,2.554399802144728,False
2025-09-12,ridge_full,10,0.5,4.335300318552052,4.407647860682458,False
2025-09-15,ridge_full,10,0.3,2.5284403302405964,1.9670505706621655,False
2025-09-16,ridge_full,10,0.8,2.4562774120785766,2.5905637470178986,False
2025-09-17,ridge_full,10,0.1,1.8887787226695103,1.47723093910742,False
2025-09-18,ridge_full,10,0.5,3.226929439896638,2.9706218121428885,False
2025-09-19,ridge_full,10,0.6,4.968767999791081,4.961043017111785,False
2025-09-22,ridge_full,10,0.7,3.4639197558293886,3.752751303806794,False
2025-09-23,ridge_full,10,0.3,2.8491709951972752,2.1597987360160706,False
2025-09-24,ridge_full,10,0.7,1.8978214554031978,2.244387742236249,False
2025-09-25,ridge_full,10,0.5,4.017555003536797,3.321744853480053,False
2025-09-26,ridge_full,10,0.5,2.168465216132756,2.199765854700354,False
2025-09-30,ridge_full,10,0.6,1.8884165446940617,1.8002068280935244,False
2025-10-01,ridge_full,10,0.1,1.3483538887564432,1.1446465984480014,False
2025-10-02,ridge_full,10,0.7,1.131050266163034,1.3967478952579415,False
2025-10-03,ridge_full,10,0.5,1.2722852148870196,1.2302976466352444,False
2025-10-07,ridge_full,10,0.7,2.182042722190199,2.493016279450855,False
2025-10-08,ridge_full,10,0.5,1.2657867046927493,1.2697263343760223,False
2025-10-09,ridge_full,10,0.4,1.0470473666006546,0.9820684244431932,False
2025-10-13,ridge_full,10,0.3,2.590637507978,2.3253656615774023,False
2025-10-14,ridge_full,10,0.4,3.139385451124479,3.066441349272931,False
2025-10-15,ridge_full,10,0.6,4.703649984554879,4.792521143839595,False
2025-10-16,ridge_full,10,0.5,1.949506460491731,1.8270383489115172,False
2025-10-17,ridge_full,10,0.4,3.3621097150734953,3.355268466604561,False
2025-10-20,ridge_full,10,0.8,6.991819550005994,7.21554796551271,False
2025-10-21,ridge_full,10,0.5,5.8990715854756335,5.883250135887069,False
2025-10-22,ridge_full,10,0.6,2.637072615225235,2.6229533705633856,False
2025-10-23,ridge_full,10,0.6,2.2972100107980253,2.5188028120202164,False
2025-10-27,ridge_full,10,0.5,3.4415125337546457,3.5464193804761237,False
2025-10-28,ridge_full,10,0.3,2.6191042949732286,2.2734703254949404,False
2025-10-29,ridge_full,10,0.4,3.6325008635146916,3.3034670883997874,False
2025-10-30,ridge_full,10,0.4,2.3971044975339737,1.858718037485333,False
2025-10-31,ridge_full,10,0.4,1.774210985921713,1.5539646708262587,False
2025-11-03,ridge_full,10,0.4,1.9739309236061071,1.8656181778116843,False
2025-11-04,ridge_full,10,0.7,3.56066731488916,3.3624610888723296,False
2025-11-05,ridge_full,10,0.4,1.8647270556971307,1.7451395237015546,False
2025-11-06,ridge_full,10,0.2,2.201586035927445,1.8663225748789145,False
2025-11-07,ridge_full,10,0.1,4.283498623077017,3.7862470689929117,False
2025-11-10,ridge_full,10,0.5,2.5391929526045383,2.4386727681754183,False
2025-11-11,ridge_full,10,0.4,2.1394657183728243,2.0377545422257226,False
2025-11-12,ridge_full,10,0.3,0.9785905606066629,0.7036037110003324,False
2025-11-13,ridge_full,10,0.5,4.009032897587012,4.0797497961217974,False
2025-11-14,ridge_full,10,0.4,3.477168972930337,2.939496890483403,False
2025-11-17,ridge_full,10,0.4,3.162645943731884,3.028879135231859,False
2025-11-18,ridge_full,10,0.5,1.3743961230242294,1.2246923357324255,False
2025-11-19,ridge_full,10,0.3,2.9369569830305204,2.6760609395626713,False
2025-11-20,ridge_full,10,0.7,4.516079619372667,4.636205146355437,False
2025-11-21,ridge_full,10,0.2,3.8756974164629474,3.3683364775891436,False
2025-11-24,ridge_full,10,0.6,1.6510506138442946,1.3898671250848706,False
2025-11-25,ridge_full,10,0.6,1.715447138021584,1.8585448073044586,False
