ticker,method,n,days,direction_accuracy,mae_pp,signal_rate,interval_n50,coverage50,width50_pp,interval_score50,interval_n80,coverage80,width80_pp,interval_score80
2492.TW,frozen_full,45,45,0.5555555555555556,7.20361432498384,1.0,45,0.6666666666666666,17.76712198276323,23.254482330480226,45,0.9555555555555556,34.45913327128013,36.196765355516824
2492.TW,history_median,45,45,0.044444444444444446,5.488666031974325,0.0,45,0.5555555555555556,14.626629038455654,18.303994151595663,45,0.8666666666666667,20.582996401549053,21.798012362907997
2492.TW,ridge_full,45,45,0.5111111111111111,5.942798854816817,1.0,45,0.6,13.42670602693054,19.149700430097106,45,0.8666666666666667,22.639590069055018,26.174499945974887
2492.TW,ridge_price,45,45,0.5555555555555556,5.587382028555507,1.0,45,0.5555555555555556,12.571364472772624,17.49139546836901,45,0.8888888888888888,19.71407382361359,21.82253011987078
2492.TW,ridge_strategy,45,45,0.5333333333333333,5.573845298835203,1.0,45,0.5555555555555556,12.488273810677015,17.226644036614537,45,0.8666666666666667,19.878299818801057,22.221166314256603
2492.TW,tree_full,45,45,0.4222222222222222,6.1374898718909865,1.0,45,0.5111111111111111,13.736971107792197,19.801210860964268,45,0.8666666666666667,22.259125781549443,23.446662253409677
2492.TW,yesterday_full,45,45,0.5111111111111111,6.18958360613921,1.0,45,0.6222222222222222,14.385729372330596,19.888798043916726,45,0.8888888888888888,23.152313665304252,26.90546008289319
2492.TW,zero,45,45,0.044444444444444446,5.488666031974325,0.0,45,0.5555555555555556,14.626629038455654,18.303994151595663,45,0.8666666666666667,20.582996401549053,21.798012362907997
3026.TW,frozen_full,45,45,0.4888888888888889,13.164547312329134,1.0,45,0.3111111111111111,17.636310813698294,40.38967349213486,45,0.7333333333333333,34.63837007703334,56.13462456457263
3026.TW,history_median,45,45,0.022222222222222223,6.17859257672574,0.0,45,0.5555555555555556,15.539848096936066,18.539506730339554,45,0.9111111111111111,21.39769810156026,21.871096970194916
3026.TW,ridge_full,45,45,0.5777777777777777,6.918942829931502,1.0,45,0.5777777777777777,15.322388681743112,22.009685566425258,45,0.8444444444444444,22.34125278898141,27.310606906946905
3026.TW,ridge_price,45,45,0.4888888888888889,6.471565330045722,1.0,45,0.5555555555555556,15.094008392052674,19.212606179716257,45,0.8222222222222222,20.858010659212148,22.669963295273853
3026.TW,ridge_strategy,45,45,0.5111111111111111,6.463913641118877,1.0,45,0.5777777777777777,14.984488536549133,19.13167799291555,45,0.8222222222222222,21.243913215184325,22.87064380526622
3026.TW,tree_full,45,45,0.5111111111111111,6.313596219713035,1.0,45,0.5777777777777777,13.733568396670378,19.172733185705777,45,0.8444444444444444,21.842925408238315,25.011599983340854
3026.TW,yesterday_full,45,45,0.5333333333333333,6.925672174272773,1.0,45,0.5333333333333333,15.434757241216081,21.567936432221508,45,0.7777777777777778,21.98862187904312,25.846930961379908
3026.TW,zero,45,45,0.022222222222222223,6.17859257672574,0.0,45,0.5555555555555556,15.539848096936066,18.539506730339554,45,0.9111111111111111,21.39769810156026,21.871096970194916
3357.TWO,frozen_full,45,45,0.5333333333333333,6.542132932480944,1.0,45,0.7777777777777778,19.124544099338816,21.3376575609153,45,0.9777777777777777,31.26799638013869,31.438706601980286
