Date,Close,High,Low,Open,Volume
2025-07-23,21020.01953125,21023.849609375,20870.669921875,20966.470703125,10972770000
2025-07-24,21057.9609375,21113.099609375,21001.6796875,21083.8203125,12741070000
2025-07-25,21108.3203125,21159.80078125,21036.849609375,21059.939453125,11028310000
2025-07-28,21178.580078125,21202.1796875,21122.119140625,21176.400390625,10612580000
2025-07-29,21098.2890625,21303.9609375,21081.689453125,21286.720703125,10040610000
2025-07-30,21129.669921875,21230.880859375,21016.919921875,21140.400390625,9311770000
2025-07-31,21122.44921875,21457.48046875,21078.669921875,21457.48046875,9917220000
2025-08-01,20650.130859375,20865.630859375,20560.169921875,20830.640625,9667420000
2025-08-04,21053.580078125,21055.240234375,20833.859375,20853.91015625,7355970000
2025-08-05,20916.55078125,21138.720703125,20893.2890625,21092.099609375,7982940000
2025-08-06,21169.419921875,21183.880859375,20937.490234375,20955.220703125,8580020000
2025-08-07,21242.69921875,21408.150390625,21090.05078125,21325.009765625,8979190000
2025-08-08,21450.01953125,21464.529296875,21284.970703125,21316.369140625,8669200000
2025-08-11,21385.400390625,21549.73046875,21346.619140625,21459.650390625,9099730000
2025-08-12,21681.900390625,21689.6796875,21386.25,21507.439453125,8382820000
2025-08-13,21713.140625,21803.75,21645.140625,21764.55078125,8763080000
2025-08-14,21710.669921875,21766.2890625,21627.130859375,21649.2109375,9110860000
2025-08-15,21622.98046875,21716.1796875,21567.4609375,21709.33984375,8158830000
2025-08-18,21629.76953125,21651.5,21559.330078125,21616.8203125,8260970000
2025-08-19,21314.94921875,21610.240234375,21277.7109375,21607.44921875,8461660000
2025-08-20,21172.859375,21269.669921875,20905.990234375,21269.669921875,7810310000
2025-08-21,21100.310546875,21198.759765625,21013.529296875,21112.51953125,6530580000
2025-08-22,21496.5390625,21545.4296875,21092.359375,21139.830078125,9401300000
2025-08-25,21449.2890625,21572.1796875,21400.08984375,21466.470703125,8443200000
2025-08-26,21544.26953125,21550.9296875,21389.099609375,21443.630859375,9087930000
2025-08-27,21590.140625,21616.169921875,21476.30078125,21526.330078125,8040510000
2025-08-28,21705.16015625,21742.4609375,21534.939453125,21619.26953125,7807080000
2025-08-29,21455.55078125,21631.150390625,21397.98046875,21630.330078125,7715430000
2025-09-02,21279.630859375,21293.689453125,21033.05078125,21086.5703125,8183410000
2025-09-03,21497.73046875,21553.98046875,21370.98046875,21461.630859375,7488290000
2025-09-04,21707.689453125,21711.9609375,21469.400390625,21539.91015625,7282150000
2025-09-05,21700.390625,21878.810546875,21534.720703125,21860.439453125,8413730000
2025-09-08,21798.69921875,21885.619140625,21776.240234375,21806.220703125,8435850000
2025-09-09,21879.490234375,21891.419921875,21731.48046875,21858.169921875,7877410000
2025-09-10,21886.060546875,22000.970703125,21810.83984375,21980.599609375,9090550000
2025-09-11,22043.0703125,22059.7109375,21908.810546875,21977.51953125,10025020000
2025-09-12,22141.099609375,22182.33984375,22031.619140625,22078.630859375,9023140000
2025-09-15,22348.75,22352.25,22233.0,22243.19921875,8904030000
2025-09-16,22333.9609375,22397.5,22308.779296875,22397.5,8592240000
2025-09-17,22261.330078125,22339.5390625,22058.919921875,22333.01953125,9325980000
2025-09-18,22470.720703125,22540.9296875,22358.48046875,22439.109375,10478450000
2025-09-19,22631.48046875,22645.109375,22497.7109375,22554.310546875,14632360000
2025-09-22,22788.98046875,22801.900390625,22590.859375,22606.58984375,9736270000
2025-09-23,22573.470703125,22785.130859375,22539.0390625,22782.720703125,9822620000
2025-09-24,22497.859375,22657.44921875,22397.0,22656.01953125,9184030000
2025-09-25,22384.69921875,22456.779296875,22185.869140625,22318.76953125,9960330000
2025-09-26,22484.0703125,22488.1796875,22285.439453125,22403.26953125,8488400000
2025-09-29,22591.150390625,22704.900390625,22536.05078125,22605.30078125,9046720000
2025-09-30,22660.009765625,22671.390625,22493.9609375,22580.359375,8928070000
2025-10-01,22755.16015625,22782.580078125,22516.740234375,22530.94921875,10043980000
2025-10-02,22844.05078125,22900.599609375,22729.75,22885.900390625,9633200000
2025-10-03,22780.509765625,22925.4296875,22695.8203125,22886.16015625,10515730000
2025-10-06,22941.669921875,22991.720703125,22827.560546875,22894.349609375,10468830000
2025-10-07,22788.359375,23006.0703125,22718.759765625,22972.369140625,10375920000
2025-10-08,23043.380859375,23045.140625,22845.419921875,22852.3203125,10925520000
2025-10-09,23024.630859375,23062.619140625,22899.16015625,23045.330078125,10713200000
2025-10-10,22204.4296875,23119.91015625,22193.0703125,23043.51953125,11635030000
2025-10-13,22694.609375,22718.75,22499.490234375,22578.669921875,9018770000
2025-10-14,22521.69921875,22691.0703125,22213.73046875,22388.0390625,9776720000
2025-10-15,22670.080078125,22841.689453125,22427.7890625,22738.5,11374850000
2025-10-16,22562.5390625,22886.869140625,22404.689453125,22764.400390625,11343620000
2025-10-17,22679.970703125,22736.009765625,22396.650390625,22489.810546875,9552150000
2025-10-20,22990.5390625,23031.869140625,22841.0,22844.8203125,9440620000
2025-10-21,22953.669921875,23010.349609375,22894.419921875,22984.55078125,10845130000
2025-10-22,22740.400390625,22978.400390625,22514.080078125,22940.7890625,14361150000
2025-10-23,22941.80078125,22983.4609375,22732.1796875,22751.330078125,10363600000
2025-10-24,23204.869140625,23261.259765625,23127.9609375,23143.23046875,10308620000
2025-10-27,23637.4609375,23658.66015625,23493.9609375,23537.3203125,10757830000
2025-10-28,23827.490234375,23901.359375,23675.189453125,23766.4609375,10640830000
2025-10-29,23958.470703125,24019.990234375,23763.990234375,23987.2890625,10089540000
2025-10-30,23581.140625,23846.130859375,23578.470703125,23793.080078125,10564160000
2025-10-31,23724.9609375,23946.23046875,23628.8203125,23941.779296875,10909250000
2025-11-03,23834.720703125,23976.83984375,23764.869140625,23951.91015625,10360170000
2025-11-04,23348.640625,23644.150390625,23333.3203125,23458.2109375,10227700000
