window,ticker,index,bucket,target,n,days,follow,mean_tw,correlation
all,3026.TW,nasdaq,big_up,intraday,32,32,0.4375,0.13495453969024285,-0.07536428362023938
all,3026.TW,nasdaq,big_down,close_to_close,34,34,0.6764705882352942,-1.5860862922314038,0.18171560083456492
all,3026.TW,nasdaq,big_down,gap,34,34,0.9117647058823529,-1.787269663977049,0.6087255654786711
all,3026.TW,nasdaq,big_down,intraday,34,34,0.4411764705882353,0.2405241995759731,-0.30213202891323676
all,3026.TW,sp500,up,close_to_close,352,352,0.5511363636363636,0.8085058814867195,0.19737935866034964
all,3026.TW,sp500,up,gap,352,352,0.5965909090909091,0.7361623661059423,0.29697553465956983
all,3026.TW,sp500,up,intraday,352,352,0.4971590909090909,0.07322171055711686,-0.019621628374557068
all,3026.TW,sp500,down,close_to_close,273,273,0.5054945054945055,-0.09935289025847327,0.1895505468866718
all,3026.TW,sp500,down,gap,273,273,0.5970695970695971,-0.23839605316304216,0.390368876835944
all,3026.TW,sp500,down,intraday,273,273,0.4358974358974359,0.13978444111116411,-0.06349470532385111
all,3026.TW,sp500,big_up,close_to_close,11,11,0.7272727272727273,2.5616199879131827,0.6607003110287235
all,3026.TW,sp500,big_up,gap,11,11,0.8181818181818182,1.9078557539002015,0.859265316906149
all,3026.TW,sp500,big_up,intraday,11,11,0.45454545454545453,0.655586631052591,-0.10002967645729825
all,3026.TW,sp500,big_down,close_to_close,11,11,0.6363636363636364,-1.4375036867352327,0.7194236665052454
all,3026.TW,sp500,big_down,gap,11,11,0.8181818181818182,-2.8671364946695137,0.6051300031360956
all,3026.TW,sp500,big_down,intraday,11,11,0.2727272727272727,1.5162840290479076,0.0293891211149426
all,3357.TWO,sox,up,close_to_close,361,361,0.556786703601108,0.6216674263031198,0.17128658133831115
all,3357.TWO,sox,up,gap,361,361,0.8421052631578947,1.0716566726732928,0.39801198987985836
all,3357.TWO,sox,up,intraday,361,361,0.42105263157894735,-0.43947947811295335,-0.04272755464477935
all,3357.TWO,sox,down,close_to_close,264,264,0.5037878787878788,-0.4483536422930636,0.3080018265993449
all,3357.TWO,sox,down,gap,264,264,0.48863636363636365,-0.3305397178970794,0.5558249473338016
all,3357.TWO,sox,down,intraday,264,264,0.4810606060606061,-0.10845351532765728,-0.04822303740579931
all,3357.TWO,sox,big_up,close_to_close,126,126,0.6428571428571429,0.8420415244611817,0.2639539817404367
all,3357.TWO,sox,big_up,gap,126,126,0.8809523809523809,1.5582909153629574,0.5183041123679383
all,3357.TWO,sox,big_up,intraday,126,126,0.38095238095238093,-0.6998641874730661,-0.038729856769606046
all,3357.TWO,sox,big_down,close_to_close,97,97,0.6701030927835051,-1.5089493680143626,0.20551175584282524
all,3357.TWO,sox,big_down,gap,97,97,0.7422680412371134,-1.3478638754316006,0.4898183745668866
all,3357.TWO,sox,big_down,intraday,97,97,0.5360824742268041,-0.1423853340189568,-0.12359304816709733
all,3357.TWO,nasdaq,up,close_to_close,359,359,0.5626740947075209,0.5537209923144613,0.2128104796314714
all,3357.TWO,nasdaq,up,gap,359,359,0.83008356545961,0.9977794567531572,0.4149253647690428
all,3357.TWO,nasdaq,up,intraday,359,359,0.43175487465181056,-0.43531587020305607,-0.006454775618077162
all,3357.TWO,nasdaq,down,close_to_close,266,266,0.518796992481203,-0.34860622898809834,0.25910957285415276
all,3357.TWO,nasdaq,down,gap,266,266,0.48120300751879697,-0.22029041979005143,0.48581819712326835
all,3357.TWO,nasdaq,down,intraday,266,266,0.5112781954887218,-0.11656173775331044,-0.053612573497165555
all,3357.TWO,nasdaq,big_up,close_to_close,32,32,0.8125,1.8480198684282185,0.3690188169776821
all,3357.TWO,nasdaq,big_up,gap,32,32,0.90625,2.3321394909020894,0.5927030611706825
all,3357.TWO,nasdaq,big_up,intraday,32,32,0.4375,-0.46487660938603353,-0.016304907590973177
all,3357.TWO,nasdaq,big_down,close_to_close,34,34,0.7647058823529411,-2.3472469317025246,0.1256258254368685
all,3357.TWO,nasdaq,big_down,gap,34,34,0.8235294117647058,-2.039703233862761,0.47879568882324136
all,3357.TWO,nasdaq,big_down,intraday,34,34,0.5294117647058824,-0.2864596103681041,-0.27845297028940497
all,3357.TWO,sp500,up,close_to_close,352,352,0.5738636363636364,0.6281453137650481,0.19700844914007207
all,3357.TWO,sp500,up,gap,352,352,0.8210227272727273,0.9757825040369442,0.4062750107910002
all,3357.TWO,sp500,up,intraday,352,352,0.4375,-0.3383464250675067,-0.015456502762896424
all,3357.TWO,sp500,down,close_to_close,273,273,0.5164835164835165,-0.4214306634257857,0.2180838356555971
all,3357.TWO,sp500,down,gap,273,273,0.45787545787545786,-0.160695487585255,0.44482302805711066
all,3357.TWO,sp500,down,intraday,273,273,0.5091575091575091,-0.24976512095793163,-0.08080307870871203
all,3357.TWO,sp500,big_up,close_to_close,11,11,0.9090909090909091,2.4719181711848073,0.822797041375027
all,3357.TWO,sp500,big_up,gap,11,11,0.9090909090909091,2.2618016585990612,0.8713864472127444
all,3357.TWO,sp500,big_up,intraday,11,11,0.45454545454545453,0.21640199680995822,-0.012794988744687368
all,3357.TWO,sp500,big_down,close_to_close,11,11,0.8181818181818182,-2.4060233289007376,0.4763423563347815
all,3357.TWO,sp500,big_down,gap,11,11,0.8181818181818182,-2.945423775661739,0.45747454489500694
all,3357.TWO,sp500,big_down,intraday,11,11,0.45454545454545453,0.6140942479434389,-0.07167522005505673
all,3675.TWO,sox,up,close_to_close,361,361,0.518005540166205,0.6851544706156244,0.19645883825162297
all,3675.TWO,sox,up,gap,361,361,0.8060941828254847,1.1258933607770185,0.33245322243233516
all,3675.TWO,sox,up,intraday,361,361,0.37119113573407203,-0.4363817004732132,0.03901241747484212
all,3675.TWO,sox,down,close_to_close,264,264,0.625,-0.7541415238486263,0.2534814406998448
all,3675.TWO,sox,down,gap,264,264,0.5303030303030303,-0.331877176559821,0.5346410528065578
all,3675.TWO,sox,down,intraday,264,264,0.5909090909090909,-0.42344942604873115,-0.031765902158261916
all,3675.TWO,sox,big_up,close_to_close,126,126,0.5634920634920635,0.9245723509536571,0.3361066835980517
all,3675.TWO,sox,big_up,gap,126,126,0.8888888888888888,1.48206409018238,0.4388561451120982
all,3675.TWO,sox,big_up,intraday,126,126,0.3492063492063492,-0.5523333692293046,0.10761595142708374
all,3675.TWO,sox,big_down,close_to_close,97,97,0.7319587628865979,-1.7246103103033423,0.17410063699928877
all,3675.TWO,sox,big_down,gap,97,97,0.7216494845360825,-1.2704962019695114,0.491370696483935
all,3675.TWO,sox,big_down,intraday,97,97,0.5876288659793815,-0.45718461571685515,-0.1549484655092209
all,3675.TWO,nasdaq,up,close_to_close,359,359,0.532033426183844,0.693336833869774,0.21411274341851352
all,3675.TWO,nasdaq,up,gap,359,359,0.7994428969359332,1.0359549011941194,0.3605625409462809
all,3675.TWO,nasdaq,up,intraday,359,359,0.3871866295264624,-0.34055625193455435,0.053605127985622086
all,3675.TWO,nasdaq,down,close_to_close,266,266,0.6390977443609023,-0.7543628637708488,0.2584130030531225
all,3675.TWO,nasdaq,down,gap,266,266,0.518796992481203,-0.1995333868420221,0.48265098054911554
all,3675.TWO,nasdaq,down,intraday,266,266,0.6015037593984962,-0.5528749921172557,-0.016028386383087057
all,3675.TWO,nasdaq,big_up,close_to_close,32,32,0.8125,3.1454031137558984,0.2604188400373657
all,3675.TWO,nasdaq,big_up,gap,32,32,1.0,2.460874385161456,0.42913733234927176
all,3675.TWO,nasdaq,big_up,intraday,32,32,0.53125,0.6663050642878401,-0.008995284671171062
