ticker,target,method,n,days,accuracy,mae
3675.TWO,close_to_close,sox_copy,60,60,0.5666666666666667,4.185671433731455
3675.TWO,close_to_close,us_only,60,60,0.6,4.120264128701031
3675.TWO,close_to_close,zero,60,60,0.05,4.445432179822123
3675.TWO,gap,price,60,60,0.5166666666666667,2.1294116902645714
3675.TWO,gap,price_us,60,60,0.6166666666666667,1.994335325945005
3675.TWO,gap,price_us_peers,60,60,0.6333333333333333,2.0412824046267697
3675.TWO,gap,sox_copy,60,60,0.6166666666666667,2.5463654112544485
3675.TWO,gap,us_only,60,60,0.6166666666666667,1.8871211698660035
3675.TWO,gap,zero,60,60,0.03333333333333333,2.017949081361061
3675.TWO,intraday,price,60,60,0.5,3.448837394476955
3675.TWO,intraday,price_us,60,60,0.5666666666666667,3.425940268617664
3675.TWO,intraday,price_us_peers,60,60,0.55,3.428357139769443
3675.TWO,intraday,sox_copy,60,60,0.5,4.226434346372171
3675.TWO,intraday,us_only,60,60,0.5833333333333334,3.405517861576972
3675.TWO,intraday,zero,60,60,0.08333333333333333,3.507400679871759
5425.TWO,close_to_close,price,60,60,0.4,4.067472309113116
5425.TWO,close_to_close,price_us,60,60,0.5666666666666667,3.8702921380911333
5425.TWO,close_to_close,price_us_peers,60,60,0.55,3.8696417170636623
5425.TWO,close_to_close,sox_copy,60,60,0.6333333333333333,3.9667045444192146
5425.TWO,close_to_close,us_only,60,60,0.6333333333333333,3.728826257061601
5425.TWO,close_to_close,zero,60,60,0.016666666666666666,3.8962810987138554
5425.TWO,gap,price,60,60,0.4666666666666667,2.3100027128208906
5425.TWO,gap,price_us,60,60,0.6166666666666667,1.8391664316855576
5425.TWO,gap,price_us_peers,60,60,0.6333333333333333,1.8637005695365927
5425.TWO,gap,sox_copy,60,60,0.6333333333333333,2.114635233180857
5425.TWO,gap,us_only,60,60,0.65,1.682008865924319
5425.TWO,gap,zero,60,60,0.1,1.9075195578097826
5425.TWO,intraday,price,60,60,0.4666666666666667,3.046906408089241
5425.TWO,intraday,price_us,60,60,0.5333333333333333,3.0209059468168196
5425.TWO,intraday,price_us_peers,60,60,0.5333333333333333,3.0372785401222546
5425.TWO,intraday,sox_copy,60,60,0.48333333333333334,4.146945935653806
5425.TWO,intraday,us_only,60,60,0.5333333333333333,3.051849853681595
5425.TWO,intraday,zero,60,60,0.05,3.0459738997252876
8255.TWO,close_to_close,price,60,60,0.4,2.6073807852558235
8255.TWO,close_to_close,price_us,60,60,0.5833333333333334,2.302411011483058
8255.TWO,close_to_close,price_us_peers,60,60,0.6,2.3045470060920707
8255.TWO,close_to_close,sox_copy,60,60,0.5333333333333333,2.8594097601656263
8255.TWO,close_to_close,us_only,60,60,0.6,2.3705562281686268
8255.TWO,close_to_close,zero,60,60,0.11666666666666667,2.5369945747921316
8255.TWO,gap,price,60,60,0.5666666666666667,1.4760390620596568
8255.TWO,gap,price_us,60,60,0.7,1.1879283613898741
8255.TWO,gap,price_us_peers,60,60,0.7,1.2349680887189132
8255.TWO,gap,sox_copy,60,60,0.6333333333333333,2.1506619293172338
8255.TWO,gap,us_only,60,60,0.6833333333333333,1.1277202787712135
8255.TWO,gap,zero,60,60,0.13333333333333333,1.4169239935500468
8255.TWO,intraday,price,60,60,0.6333333333333333,1.813902929583284
8255.TWO,intraday,price_us,60,60,0.5666666666666667,1.8572964216029384
8255.TWO,intraday,price_us_peers,60,60,0.55,1.8025593654434076
8255.TWO,intraday,sox_copy,60,60,0.4666666666666667,3.2675282985809617
8255.TWO,intraday,us_only,60,60,0.6333333333333333,1.9414152238848292
8255.TWO,intraday,zero,60,60,0.1,1.9796733153275874
8261.TW,close_to_close,price,60,60,0.43333333333333335,4.504482096048151
8261.TW,close_to_close,price_us,60,60,0.5333333333333333,4.320371487378706
8261.TW,close_to_close,price_us_peers,60,60,0.5,4.445613181094606
8261.TW,close_to_close,sox_copy,60,60,0.5166666666666667,4.714890478841519
8261.TW,close_to_close,us_only,60,60,0.5333333333333333,4.351653307892727
8261.TW,close_to_close,zero,60,60,0.08333333333333333,4.466425656717827
8261.TW,gap,price,60,60,0.5166666666666667,2.8675300826199637
8261.TW,gap,price_us,60,60,0.6833333333333333,2.353597437418484
8261.TW,gap,price_us_peers,60,60,0.6833333333333333,2.43852901472598
8261.TW,gap,sox_copy,60,60,0.65,2.5609106827362216
8261.TW,gap,us_only,60,60,0.7,2.1629218572977558
8261.TW,gap,zero,60,60,0.11666666666666667,2.5637897929058457
8261.TW,intraday,price,60,60,0.4,3.5414561489866263
8261.TW,intraday,price_us,60,60,0.38333333333333336,3.5180417237986052
8261.TW,intraday,price_us_peers,60,60,0.4166666666666667,3.506923922388155
8261.TW,intraday,sox_copy,60,60,0.4666666666666667,4.583364126557053
8261.TW,intraday,us_only,60,60,0.38333333333333336,3.5351707060498976
8261.TW,intraday,zero,60,60,0.15,3.40670096638482
